id;code;placed_date;status;invoice_id
1;6295f043-6f24-428c-a16e-5cda94989907;2021-04-21T22:09:19;CANCELLED;87361
2;7ec251cb-1b68-4b8a-9a8e-10a04c13692a;2021-04-21T19:27:38;PENDING;53205
3;6415846c-7ba0-4074-a6fc-193123f29b85;2021-04-21T19:57:42;CANCELLED;51095
4;0412f1ca-b2c6-49b3-ab1d-784074da0f31;2021-04-21T22:44:11;COMPLETED;13214
5;a2d9d972-cdbb-4233-8052-b3aab0856317;2021-04-21T14:14:35;CANCELLED;40633
6;9423c140-12cd-4eeb-bdf3-18be38d41558;2021-04-22T01:18:06;COMPLETED;87597
7;6cb4fc4d-ccbd-4eb6-9c8e-4bef88db528d;2021-04-22T09:19:50;COMPLETED;33299
8;d06efe52-5afc-4e17-95b9-830a3962ba96;2021-04-21T16:03:43;COMPLETED;37676
9;db50039d-0c3f-4489-ba4a-b537a8a60931;2021-04-22T09:54:53;CANCELLED;28452
10;6053b31d-0f33-4ab3-9633-5dbd0d3e570e;2021-04-21T15:07:59;COMPLETED;67150
